review,polarity,translated
"Ce n'est pas un film policier - ""intrigue"" à la fois brouillonne et simpliste. C'est, au mieux, un film ""d'ambiance"" - la nuit glauque et sordide toute, souvent pluvieux (et boueux) le jour. C'est en fait surtout une charge appuyée contre la période franquiste - l'histoire se situe peu de temps après la mort du Caudillo - les 2 flics menant enquête étant emblématiques : ""Juan"", le plus âgé, usé et malade (mais toujours adepte des méthodes musclées d'interrogatoire), a fait partie de la police politique, et Pedro (qui va être père), représente la vision ""démocratique"" du maintien de l'ordre (tout en faisant montre d'une belle ambition). Et une charge, annexe, sur les vilaines manières du patronat (en illustration, un potentat local, propriétaire d'une conserverie). C'est pesamment didactique, sous couvert d'étude de moeurs, politico-sociales... En consolation, la superbe photo d'Alex Catalan (extérieurs, comme intérieurs). ""La Isla minima"" a raflé l'essentiel des récompenses à la dernière édition des ""Goya""..... Voilà qui éclaire sur le milieu professionnel ibérique qui vote pour ces prix - comme en France, pour les César : que du bobo ""impliqué"", partout.....",1,"এটি একটি পুলিশি সিনেমা নয় - ""ষড়যন্ত্র"" উভয় কুয়াশা এবং সরল। এটি সর্বোত্তম, একটি ""বায়ুমণ্ডল"" সিনেমা - দ্য গ্লাউস এবং সোর্ডড রাইট, প্রায়শই বৃষ্টির (এবং muddy) দিন। এটি আসলেই প্রধানত ফ্রাঙ্কোস্ট সময়ের বিরুদ্ধে বোঝা যাচ্ছে - গল্পটি কৌডিলোর মৃত্যুর পরেই চলছে - ২ টি পুলিশ নেতৃস্থানীয় তদন্ত প্রতীকী হচ্ছে: ""জুয়ান"", প্রাচীনতম, পরিহিত এবং অসুস্থ (কিন্তু জিজ্ঞাসাবাদের পেশাগত পদ্ধতির অনুসারী ), রাজনৈতিক পুলিশের অংশ ছিল, এবং পেড্রো (যিনি একজন বাবা হবেন), আদেশের রক্ষণাবেক্ষণের ""গণতান্ত্রিক"" দৃষ্টিভঙ্গির প্রতিনিধিত্ব করেন (যখন একটি সুন্দর উচ্চাকাঙ্ক্ষা দেখানো হয়)। এবং একটি চার্জ, সংযোজন, Patronat এর কুৎসিত আচরণের উপর (উদাহরণস্বরূপ, একটি cannery মালিক, একটি cannerate মালিক)। এটি অনুসরণ করে, নৈতিকতা, রাজনীতিক-সামাজিক ... সান্ত্বনা অনুসারে, অ্যালেক্স কাতালান (বহির্মুখী, অভ্যন্তরীণ হিসাবে) এর চমত্কার ছবিটি অনুসরণ করা হয়। ""ইসলা মিনিমা"" ""গয়্য"" এর সর্বশেষ সংস্করণে পুরষ্কারের পরিমাণ জিতেছে ..... যা ইবেরিয়ান পেশাদার পরিবেশে আলোকিত করে যা এই দামের জন্য ভোট দেয় - ফ্রান্সের মতো, সিজারের জন্য: যে ববো ""জড়িত "", সর্বত্র ....."
"Mouais... C'est quand même un peu gros et arrangé parfois. La vraie question est surtout : était-ce bien utile ? Le mystère qui entoure son passé n'est-il pas un élément qui fait d'Hannibal Lecter un être terrifiant ? Ici, c'est comme sur TF1 ou M6, on nous montre tout, on nous dévoile des clefs bidons pour que nous sachions comment Hannibal est devenu Hannibal. Mais a-t-on réellement besoin de tout savoir dans ce cas précis ? Quelle est la place de l'imaginaire ? De la part sombre glaçante ? On s'éloigne donc toujours un peu plus de l'oeuvre originale (et ça doit certainement valoir pour le bouquin puisque c'est une nouvelle fois adapté). Et on ne parle même pas de la tension, aux abonnés absents. On a donc, même plus un thriller, mais une banale histoire de vendetta, à coup de katana, où seuls les jeux corrects de Gaspard Ulliel et Gong Li ainsi qu'un certain esthétisme arrivent à éviter le naufrage copieux de la saga. A quand un 5ème épisode où l'on apprendrait qu'en fait Hannibal a un fils caché, mi-cannibale, mi-ninja, vivant reclus dans le marais poitevin ?....Peut-être dans la série ? Non, il paraît qu'elle n'est pas mal (à voir un jour).",1,"হ্যাঁ ... এটি এখনও একটু বড় এবং কখনও কখনও ব্যবস্থা করা হয়। আসল প্রশ্নটি বিশেষ করে: এটি খুব দরকারী ছিল? তার অতীতের রহস্যটি এমন একটি উপাদান নয় যা হানিবলকে ভয়ঙ্কর করে তোলে? এখানে, এটি টিএফ 1 বা এম 6 এর মতো, আমরা সবাইকে দেখিয়েছি, আমরা জানতে পারি যে আমাদের জন্য কী হানিবল হানিবল হয়ে উঠেছে। কিন্তু এটা কি আসলেই এই ক্ষেত্রে সবকিছু জানা দরকার? কাল্পনিক জায়গা কি? অন্ধকার আইসক্রিম থেকে? আমরা সর্বদা মূল কাজ থেকে একটু বেশি সরান (এবং এটি অবশ্যই আবার অভিযোজিত হওয়ার পরে এটি অবশ্যই বইটির মূল্যবান হবে)। এবং আমরা এমনকি উত্তেজনা, অনুপস্থিত গ্রাহকদের কথা বলতে না। তাই আমাদের, এমনকি আরও একটি থ্রিলার, কিন্তু কাতানাতে ভেনডেটার একটি অস্পষ্ট গল্প, যেখানে শুধুমাত্র গ্যাসপার্ড উলিয়েল এবং গং লি এর সঠিক গেমগুলি কেবল একটি নির্দিষ্ট নান্দনিকতা সাগরের ধনী ডুবে যাওয়া এড়াতে সক্ষম। যখন একটি 5 ম পর্বে আমরা শিখব যে আসলে হানিবালের একটি লুকানো পুত্র, মধ্য-ক্যান্নিবল, অর্ধ-নিঞ্জা, মারেইস পোয়েভিনে জীবিত জীবিত? .... হয়তো সিরিজে? না, মনে হচ্ছে এটি খারাপ নয় (একদিন দেখতে)।"
"Aaron et son frère Caleb vivent dans une ferme à Salinas en Californie. Leur mère les a quittés après leur naissance et leur père cultive des laitues. Cal est le mauvais fils, son père favorise son frère Aaron, le meilleur fils. C'est pourtant Cal, l'espiègle et soi-disant incapable, qui retrouve sa mère tout près de chez eux, au port de Monterey. Suite à un éboulement sur la voie ferrée, le père perd sa récolte de salades. Pour l'aider, Calva planter des haricots dont le cours monte à l'approche de l'entrée en guerre. Malheureusement son père ne veut rien accepter de lui.La photographie est très belle : scène de la fête foraine, Cal allongé dans le champ de haricots... James Dean, très jeune (il avait 24 ans et déjà son dixième film) est sublime dans le rôle principal, un emploi sur mesure que ce personnage de Cal, le jeune révolté. Un bon scénario basé sur le célèbre romand de John Steinbeck, une histoire de famille poignante et tragique ou l'amour est le cœur du sujet. Une Palme d'or à Cannes méritée pour ce maitre de la réalisation qu'est Elia Kazan.",0,"হারুন ও তার ভাই কালেব ক্যালিফোর্নিয়ার সালিনাসে একটি খামারে বাস করেন। তাদের মা তাদের জন্মের পর তাদের ছেড়ে চলে গেলেন এবং তাদের বাবার লেটুস চাষ করে। Cal খারাপ পুত্র, তার বাবা তার ভাই হারুন, সেরা পুত্র প্রচার করে। তা সত্ত্বেও, দুষ্টু ও তথাকথিত অক্ষম, যিনি মন্টের বন্দরে তাদের মা তাদের কাছে খুঁজে বের করেন। রেলওয়ের একটি ভূমিধসের পর, পিতা সালাদে তার ফসল কাটার হারে। সাহায্য করার জন্য, কিলভা প্ল্যান্ট মটরশুটি যার কোর্স যুদ্ধে প্রবেশের পদ্ধতিতে যায়। দুর্ভাগ্যবশত, তার বাবা তাকে গ্রহণ করতে চান না। ফটোগ্রাফি খুব সুন্দর: বনের দৃশ্য, মটরশুটি মাঠে মিথ্যা বলছে ... জেমস ডিন, খুব অল্প বয়সী (তিনি ২4 বছর বয়সী ছিলেন এবং ইতিমধ্যেই তার দশম চলচ্চিত্র ছিল) প্রধান ভূমিকা মধ্যে মহিমান্বিত, Cal এর এই চরিত্র হিসাবে একটি tailor- তৈরি কাজ, তরুণ বিদ্রোহী। জন স্টেইনবেকের বিখ্যাত রোম্যান্ডের উপর ভিত্তি করে একটি ভাল দৃশ্য, একটি বোকা এবং দুঃখজনক পরিবার গল্প বা প্রেম বিষয়টির হৃদয়। এলিয়া কাসানকে উপলব্ধি করার জন্য এই মাস্টারের জন্য সোনার একটি পাম্প প্রাপ্য।"
"Malick sait parfaitement filmé des lieux magnifiques, mais il délaisse de nouveau l'histoire avec des éléments trop banals, mené par une voix off moins pesante que son précédent film. Des acteurs passionnés, mais dont leurs jeux sont inégaux et nous nous mettons à prier pour qu'il nous mène enfin vers le droit chemin. Seuls les fans de Malick prendront le billet pour ce long voyage, mais les autres n'arriveront pas à l'étape finale. Je n'ai pas trouvé ce film merveilleux, mais plutôt paresseux, car le réalisateur n'a pas retrouvé sa perle rare.",1,"মালিক পুরোপুরি চিত্রিত সুন্দর জায়গাগুলি জানেন, কিন্তু তিনি তার আগের চলচ্চিত্রের তুলনায় কম ভারী ভয়েস নেতৃত্বে খুব অস্পষ্ট উপাদান দিয়ে আবার গল্পটি পরিত্যাগ করেন।Passionate অভিনেতা, কিন্তু যার গেম অসমতল এবং আমরা অবশেষে সঠিক পথে আমাদের নেতৃত্ব প্রার্থনা শুরু।শুধু ম্যালিক ভক্তরা এই দীর্ঘ ভ্রমণের জন্য টিকিট নেবে, কিন্তু অন্যদের চূড়ান্ত পর্যায়ে ঘটবে না।আমি এই বিস্ময়কর সিনেমাটি খুঁজে পাইনি, বরং অলস, কারণ পরিচালক তার বিরল মুক্তা খুঁজে পাইনি।"
"Dans un huis-clos qui rappelle énormément l'un de ces premiers longs métrages ""Assaut"", John Carpenter livre un troublant film d'épouvante au propos qui fait penser au romancier H.P. Lovecraft. Avec en toile de fond une menace apocalyptique, un film qui, à l'instar d'oeuvres comme ""L'exorciste"" ou encore ""L'emprise"" de Sidney Furie, livre une tentative d'explication rationnelle, scientifique devant un événement surnaturel. Sous de faux airs simplistes, une mise en scène déconcertante avec notamment aucun personnage vraiment central à l'intrigue mais plutôt une addition de points de vue et de compétences et qui continue de déranger bien après le visionnage malgré quelques failles et incohérences dans l'écriture. Au final, un ensemble peut-être pas très effrayant en terme d'horreur mais étrangement lourd et anxiogène. Une bonne sensation.",0,"একটি বন্ধ অধিবেশনে যা এই প্রথম ফিচারের চলচ্চিত্রগুলি ""হামল্ট"", জন ছাগলটি একটি সমস্যাগ্রস্থ সন্ত্রাসী চলচ্চিত্র সরবরাহ করে যা উপন্যাসে এইচ। পি। লোভকক্রাফ্ট তৈরি করে।একটি রহস্যময় হুমকির একটি ব্যাকড্রপের সাথে, একটি চলচ্চিত্র যা, সিডনি ক্রু এর ""দ্য এক্সোরকিস্ট"" বা ""দ্য হোল্ড"" এর মতো কাজ করে, একটি অতিপ্রাকৃত ইভেন্টের আগে যুক্তিসঙ্গত, বৈজ্ঞানিক ব্যাখ্যা করার একটি প্রচেষ্টা সরবরাহ করে।মিথ্যা সরল সুরের অধীনে, চক্রান্তের মধ্যে কোনও কেন্দ্রীয় চরিত্রের সাথে কোনও বিচ্ছিন্ন হওয়া স্টেজিং কিন্তু দৃশ্য এবং দক্ষতার পয়েন্টগুলির একটি সংযোজন এবং যারা লিখিত কিছু ত্রুটি এবং অসঙ্গতি সত্ত্বেও দেখার পরে ভালভাবে বিরক্ত করে।শেষ পর্যন্ত, একটি সেট ভয়াবহতার পরিপ্রেক্ষিতে খুব ভীতিকর নয় তবে অদ্ভুত ভারী এবং উদ্বেগজনক।একটি ভাল অনুভূতি।"
je sais 5 étoiles ca n'est aps très objectif! mais ce film a bercé mon enfance! un magnifique dessin animé qui se regarde en famille ou pendant les jours de pluie avec son bol de chocolat chaud!,0,আমি জানি 5 তারা এটা খুব উদ্দেশ্য নয়!কিন্তু এই ছবিটি আমার শৈশবকে ঠেলে দিয়েছে!একটি চমত্কার কার্টুন তার গরম চকলেট বোল সঙ্গে পরিবার বা বৃষ্টির দিন সঙ্গে পর্যবেক্ষক একটি চমত্কার কার্টুন!
"Film culte du début des années 2000, Donnie Darko est un thriller fantastique de haute volée qui en surprendra plus d’un. Porté par un tout jeune Jake Gyllenhaal (mais déjà bourré de talent), le film nous raconte l’histoire de Donnie, un adolescent de seize ans pas comme les autres, qui a pour ami Frank, une créature que lui seul peut voir et entendre. Lorsque Donnie survit par miracle à un accident, Frank lui propose un étrange marché. Des événements bizarres surviennent alors dans cette petite ville tranquille des États-Unis. La grande force du film vient bien sûr de son scénario, génialement écrit par Richard Kelly. Si au premier abord on peut trouver le film bizarre, on se rend finalement compte que toutes les scènes, les actes des personnages sont subtilement liés entre eux et forment un tout cohérent. Je ne vais pas en dire plus sur le scénario car cela serait du spoile mais c’est vraiment très bon, surtout pour un premier film. Côté réalisation, cette dernière est correcte et les acteurs sont tous vraiment bons (Jake Gyllenhaal en tête bien évidement). De plus, j’ai trouvé la bande-son excellente et elle colle parfaitement aux scènes et à l’ambiance du film. Voilà, je ne serais que trop vous conseiller de voir Donnie Darko, ne serait-ce que pour votre culture cinématographique personnelle, mais aussi parce que c’est un excellent thriller fantastique qui mérite largement le coup d’œil. Brillant.",0,"২000 এর দশকের প্রথম দিকের পূজা চলচ্চিত্র, ডনি ডার্কো উচ্চ উড়ে একটি চমত্কার থ্রিলার যা একাধিককে অবাক করে দেবে। একটি সম্পূর্ণ তরুণ Gylenhaal জ্যাক (কিন্তু ইতিমধ্যে প্রতিভাবান সঙ্গে স্টাফ) দ্বারা পরিহিত, সিনেমা আমাদের donnie এর গল্প বলে, ষোলের একটি কিশোর অন্যদের পছন্দ করে না, যারা বন্ধু ফ্রাঙ্ক, তিনি একা দেখতে এবং শুনতে পারেন। যখন ডনি অলৌকিক ঘটনাটি দুর্ঘটনায় বেঁচে থাকে, তখন ফ্রাঙ্ক তাকে একটি অদ্ভুত বাজার সরবরাহ করে। বিজড়ের ঘটনা ঘটে মার্কিন যুক্তরাষ্ট্রের এই শান্ত ছোট শহরে ঘটে। চলচ্চিত্রের মহান শক্তি তার দৃশ্যকল্প থেকে আসে, রিচার্ড কেলি দ্বারা গ্রেট লিখেছেন। প্রথম দর্শনে আমরা অদ্ভুত চলচ্চিত্রটি খুঁজে পেতে পারি, আমরা অবশেষে উপলব্ধি করি যে সমস্ত দৃশ্যগুলি, অক্ষরের কাজগুলি একসাথে একত্রিত হয় এবং একটি সুসঙ্গত পুরো গঠন করে। আমি দৃশ্যকল্প সম্পর্কে আরো বলব না কারণ এটি একটি spoile হবে কিন্তু এটি সত্যিই খুব ভাল, বিশেষ করে একটি প্রথম সিনেমা জন্য। উপলব্ধি পাশে, পরেরটি সঠিক এবং অভিনেতা সব সত্যিই ভাল (অবশ্যই হেড Gylenhaal)। উপরন্তু, আমি ব্যান্ড-শব্দটি চমৎকার পেয়েছি এবং তিনি দৃশ্যের দৃশ্য এবং চলচ্চিত্রের বায়ুমন্ডলে পুরোপুরি লাঠি। এখানে, আমি আপনাকে কেবল আপনার ব্যক্তিগত সিনেম্যাটোগ্রাফিক সংস্কৃতির জন্য শুধুমাত্র ডোনা ডার্কো দেখতে পরামর্শ দেব, কিন্তু এটি একটি চমৎকার চমত্কার থ্রিলার যা একটি দুর্দান্ত চুক্তি প্রাপ্য। উজ্জ্বল।"
"J'ai enfin trouvé mon film culte ! Dans le domaine de la comedie bien entendu ! C'est un régal ! D'une bétise incroyable, avec pleins d'acteurs fabuleux... David Spade, grandiose, trimballe sa naïveté, tout en ayant un ton ironique sur sa vie. Ainsi que Christopher Walken, qui nous fait une prestation hilarante ! Le film acceuil un nouveau venu dans le cinéma Kid Rock, excellent dans un contre emploi niaiseux. Sans oublier Britany Murphy, magnifique actrice, trop belle ! Et que dire de la bande son... Très rock, avec Lynard Skynard, et Eddie Money ! Joe Lacrasse est un excellent road-movie humoristique, cultissime !",0,"আমি অবশেষে আমার পূজা সিনেমা খুঁজে পেয়েছি!কমেডি ক্ষেত্রে অবশ্যই!এটি একটি আনন্দ!অবিশ্বাস্য কংক্রিট, অবিশ্বাস্য অভিনেতা পূর্ণ সঙ্গে ... ডেভিড স্পেড, grandiose, trimballe তার nivivalle, তার জীবনের একটি বিদ্রূপাত্মক স্বন থাকার সময়।সেইসাথে ক্রিস্টোফার ওয়াকেন, যিনি আমাদেরকে হাস্যকর পারফরম্যান্স করে তোলে!ছবিতে একটি নতুন রক সিনেমা একটি নতুন আসে, একটি পাল্টা কর্মসংস্থান চমৎকার।ব্রিটানি মারফি, সুন্দর অভিনেত্রী, খুব সুন্দর উল্লেখ না!এবং সাউন্ডট্র্যাক সম্পর্কে কি ... খুব শিলা, Lynard Skynard, এবং Eddie অর্থ সঙ্গে!জো Lacrasse একটি চমৎকার হাস্যকর রাস্তা-সিনেমা, Culpsimal!"
"Bon film, très drôle et très fin observateur des rapports familiaux de nos jours. Michel Blanc est génial.",0,"ভাল ফিল্ম, খুব মজার এবং খুব পাতলা পর্যবেক্ষক পরিবার রিপোর্ট আজ।মিশেল Blanc মহান।"
"Je viens de voir un film merveilleux, je l'ai adoré, bien filmé, des flashs back judicieux, et efficaces, plus une superbe interprétation. Un réel beau film. Je n'aime pas trop raconter, car il faut le voir et bien rester attentif, car chaque scènes a son importances pour la suite et la bonne compréhension du film. Je vous incite réellement à le voir, les personnes au cœur sensibles adoreront j'en suis sûr, le reste n'est qu'une question de goût. Je note vite 5 étoiles sur 5.",0,"আমি শুধু একটি বিস্ময়কর সিনেমা দেখেছি, আমি এটা পছন্দ, ভাল অঙ্কিত, ভাল, এবং দক্ষ ব্যাকফ্ল্যাশ, প্লাস একটি চমত্কার ব্যাখ্যা।একটি বাস্তব সুন্দর সিনেমা।আমি খুব বেশি বলতে চাই না কারণ আপনাকে এটি দেখতে হবে এবং সচেতন থাকুন, কারণ প্রতিটি দৃশ্যের ভবিষ্যতের জন্য এবং চলচ্চিত্রের ভাল বোঝার জন্য এটির গুরুত্ব রয়েছে।আমি সত্যিই আপনাকে এটি দেখতে উত্সাহিত করি, সংবেদনশীল হৃদয় দিয়ে লোকেরা ভালোবাসবে আমি নিশ্চিত, বাকিরা কেবল স্বাদের ব্যাপার।আমি দ্রুত 5 স্টার আউট 5 নোট।"
